iter	Passed	Remaining
0	949	46541
1	1894	45476
2	2749	43075
3	3690	42440
4	4577	41200
5	5512	40427
6	6442	39576
7	7380	38746
8	8228	37486
9	9080	36322
10	10060	35669
11	10918	34573
12	11872	33789
13	12736	32751
14	13612	31763
15	14478	30766
16	15401	29896
17	16256	28899
18	17117	27928
19	17925	26888
20	18746	25887
21	19648	25006
22	20513	24081
23	21420	23205
24	22265	22265
25	23088	21312
26	23893	20354
27	24828	19507
28	25706	18615
29	26630	17753
30	27531	16874
31	28364	15955
32	29256	15071
33	30159	14192
34	31066	13314
35	32157	12505
36	33267	11688
37	34267	10821
38	35246	9941
39	36092	9023
40	37067	8136
41	37920	7222
42	38771	6311
43	39754	5421
44	40716	4524
45	41679	3624
46	42496	2712
47	43316	1804
48	44172	901
49	45138	0
